1;0.814724;0.165283
2;0.135477;0.029199
2;0.905792;0.155103
1;0.835009;0.157514
1;0.126987;0.0356282
2;0.968868;0.143316
3;0.913376;0.121886
1;0.221034;0.0476828
2;0.632359;0.109831
4;0.308167;0.0345567
1;0.890907;0.172276
2;0.973302;0.143162
2;0.322705;0.0705128
1;0.554124;0.112447
1;0.39382;0.101496
2;0.704274;0.126068
3;0.63265;0.0865385
1;0.149287;0.0379274
2;0.61889;0.106036
4;0.361411;0.0435363
1;0.074367;0.0424066
2;0.753302;0.179433
2;0.145848;0.058309
1;0.384175;0.152664
1;0.0430961;0.0219984
2;0.212883;0.0760668
3;0.928685;0.16353
1;0.432963;0.155579
2;0.323687;0.109197
4;0.165505;0.0408163
1;0.805064;0.186616
2;0.171189;0.0421654
2;0.653157;0.133841
1;0.210474;0.0582155
1;0.272135;0.0946681
2;0.770306;0.159684
3;0.840641;0.120239
1;0.465057;0.11235
2;0.0944386;0.0277476
4;0.498203;0.0644723
1;0.626415;0.145911
2;0.978519;0.153661
2;0.835301;0.145377
1;0.367723;0.0849813
1;0.362968;0.108498
2;0.423236;0.0828434
3;0.3172;0.0430251
1;0.617416;0.131748
2;0.405348;0.080171
4;0.155245;0.0237841
1;0.498634;0.0982736
2;0.60197;0.0900398
2;0.252051;0.04834
1;0.31501;0.0634794
1;0.63762;0.139177
2;0.990693;0.140239
3;0.962081;0.108632
1;0.736828;0.135724
2;0.765588;0.127224
4;0.503175;0.0488712
1;0.634844;0.14462
2;0.463209;0.0928361
2;0.590008;0.118326
1;0.0107976;0.00295144
1;0.776269;0.206064
2;0.738911;0.133351
3;0.118468;0.0177086
1;0.412453;0.109471
2;0.721795;0.136034
4;0.307356;0.038637
1;0.63163;0.194937
2;0.161342;0.0545407
2;0.32368;0.108038
1;0.676738;0.189196
1;0.0345654;0.0159186
2;0.186679;0.059238
3;0.0575645;0.0161795
1;0.281805;0.10595
2;0.44635;0.122129
4;0.940152;0.133873
1;0.748675;0.246597
2;0.387577;0.12917
2;0.148792;0.0552442
1;0.249449;0.106752
1;0.107897;0.0563117
2;0.511272;0.145717
3;0.125169;0.0408327
1;0.298866;0.127836
2;0.119165;0.0437683
4;0.208448;0.0477716
1;0.746374;0.147885
2;0.0993568;0.0199632
2;0.765753;0.121093
1;0.942545;0.166798
1;0.432158;0.106646
2;0.556572;0.0890465
3;0.207502;0.036249
1;0.593745;0.131337
2;0.636082;0.104544
4;0.827028;0.0764381
1;0.285126;0.0907367
2;0.928721;0.168472
2;0.678071;0.13922
1;0.54439;0.140033
1;0.53404;0.17416
2;0.245269;0.063922
3;0.0298173;0.00866739
1;0.0229431;0.00785482
2;0.486078;0.105092
4;0.863224;0.101842
1;0.568358;0.136117
2;0.27462;0.0566703
2;0.963429;0.154013
1;0.207299;0.0444685
1;0.719204;0.185195
2;0.396502;0.0734816
3;0.859651;0.113341
1;0.75303;0.148319
2;0.33824;0.0658894
4;0.174665;0.0225054
1;0.422697;0.0929669
2;0.616323;0.103746
2;0.4094;0.0724872
1;0.293441;0.0714093
1;0.852059;0.203449
2;0.964861;0.156292
3;0.91291;0.108327
1;0.333028;0.0703314
2;0.230745;0.0441929
4;0.667978;0.0767987
1;0.447901;0.108437
2;0.914773;0.1452
2;0.857115;0.156572
1;0.696547;0.150225
1;0.657981;0.169267
2;0.867005;0.149696
3;0.446483;0.0645332
1;0.1033;0.0235387
2;0.164863;0.0320021
4;0.00752294;0.000528961
1;0.986718;0.158987
2;0.852528;0.10671
2;0.783683;0.120722
1;0.688244;0.120183
1;0.555077;0.113716
2;0.0568815;0.00943142
3;0.375442;0.0377257
1;0.980241;0.149555
2;0.988185;0.123956
4;0.659216;0.0590137
1;0.65662;0.184272
2;0.947918;0.18531
2;0.487754;0.12925
1;0.0447325;0.0210226
1;0.186717;0.0801973
2;0.107296;0.0295873
3;0.541971;0.105632
1;0.615097;0.169738
2;0.06902;0.0259538
4;0.394343;0.0690371
1;0.0706609;0.0283765
2;0.780791;0.166985
2;0.128599;0.0332879
1;0.831404;0.190177
1;0.11838;0.0414734
2;0.786487;0.150887
3;0.282246;0.0510232
1;0.388152;0.113779
2;0.747739;0.145157
4;0.53895;0.078854
1;0.90686;0.188863
2;0.571448;0.0964014
2;0.643133;0.106908
1;0.656362;0.13265
1;0.115839;0.0336223
2;0.483102;0.0814289
3;0.622183;0.0903599
1;0.629575;0.130286
2;0.468811;0.0945626
4;0.374196;0.0449173
1;0.083213;0.019125
2;0.266006;0.0500393
2;0.531483;0.104794
